FORENAME,HOUSE,EMAIL,PHONE NUMBER
Daenerys,Targaryen,mother@dragons.rock,1-202-555-0194
Jon,Snow,bastard@stark.co.uk,1-202-555-1354
Tyrion,Lannister,tyrion@lannister.com,1-617-111-1249
Arya,Stark,arya@stark.co.uk,1-202-555-3346
Sansa,Stark,sansa@stark.co.uk,1-202-555-9357
Brienne,Tarth,brienne@tarth.fr,1-808-221-2153
Jaime,Lannister,jaime@lannister.com,1-617-555-1359
Theon,Greyjoy,theon@wards.stark.co.uk,1-202-555-1360
Stannis,Baratheon,stan@baratheon.gov,1-406-325-1360
Petry,Baelish,littlefinger@kingslanding.gov,1-617-422-8879
Varys,Lys,spider@kingslanding.gov,1-617-421-8231
Davos,Seaworth,davos@baratheon.gov,1-202-555-1364
Grey,Worm,grey@dragons.rock,1-202-591-1965
Roose,Bolton,master@boltons.co.uk,1-202-512-9836
Aemon,Targaryen,master@wall.gov,1-302-311-1267
Podrick,Payne,pod@lannister.com,1-406-345-1528
